expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
12/23/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,10,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
12/23/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,15,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
12/24/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,15,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
12/24/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,25,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
12/27/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,35,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
12/27/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
12/28/21,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,75,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
1/3/22,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,75,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
1/3/22,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,125,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
1/10/22,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,175,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
11/19/21,Prince George's Community College,301 Largo Rd  Upper Marlboro  Maryland 20774,Business/Group/Organization,750,King  John for Governor,Media,Online Advertising,NA,Check,NA,Electoral,Video Production Space Rental,NA
11/2/21,Stones' Phones,1440 G St NW  Washington  District Of Columbia 20005,Business/Group/Organization,6403.17,King  John for Governor,Media,Phones / Robo calls,NA,Check,NA,Electoral,Robo Calls,NA
11/30/21,Stones' Phones,1440 G St NW  Washington  District Of Columbia 20005,Business/Group/Organization,6417.44,King  John for Governor,Media,Phones / Robo calls,NA,Check,NA,Electoral,Robo Calls,NA
8/6/21,The Baltimore Sun,300 E Cromwell St  Baltimore  Maryland 21230,Business/Group/Organization,0.99,King  John for Governor,Media,Newspaper,NA,Check,NA,Electoral,Newspaper Subscription,NA
6/14/21,The Daily Times,115 S Division St  Salisbury  Maryland 21801,Business/Group/Organization,1.06,King  John for Governor,Media,Newspaper,NA,Check,NA,Electoral,Newspaper Subscription,NA
7/7/21,Unapologetic Communications,5056 Ilchester Rd  Ellicott City  Maryland 21043,Business/Group/Organization,8248.3,King  John for Governor,Media,Consulting Fees - General,NA,Check,NA,Electoral,Communications Consulting,NA
8/3/21,Unapologetic Communications,5056 Ilchester Rd  Ellicott City  Maryland 21043,Business/Group/Organization,8248.3,King  John for Governor,Media,Consulting Fees - General,NA,Check,NA,Electoral,Communications Consulting,NA
9/3/21,Unapologetic Communications,5056 Ilchester Rd  Ellicott City  Maryland 21043,Business/Group/Organization,8080,King  John for Governor,Media,Consulting Fees - General,NA,Check,NA,Electoral,Communications Consulting,NA
10/12/21,Unapologetic Communications,5056 Ilchester Rd  Ellicott City  Maryland 21043,Business/Group/Organization,8080,King  John for Governor,Media,Consulting Fees - General,NA,Check,NA,Electoral,Communications Consulting,NA
11/2/21,Unapologetic Communications,5056 Ilchester Rd  Ellicott City  Maryland 21043,Business/Group/Organization,8080,King  John for Governor,Media,Consulting Fees - General,NA,Check,NA,Electoral,Communications Consulting,NA
12/15/21,Unapologetic Communications,5056 Ilchester Rd  Ellicott City  Maryland 21043,Business/Group/Organization,8080,King  John for Governor,Media,Consulting Fees - General,NA,Check,NA,Electoral,Communications Consulting,NA
6/13/22,Facebook  Inc.,1601 Willow Rd  Menlo Park  California 94025,Business/Group/Organization,35,Albornoz  Gabriel Ivan For Council,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
6/16/22,Facebook  Inc.,1601 Willow Rd  Menlo Park  California 94025,Business/Group/Organization,39.42,Albornoz  Gabriel Ivan For Council,Media,Online Advertising,NA,Check,NA,Electoral,Online Advertising,NA
7/24/22,Darrell Hudges,16400 Ball Point Road  Piney Point  Maryland 20674,Individual,700,Milburn Sheila4STMarys,Media,Videos,NA,Check,NA,Electoral,NA,NA
1/25/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2/24/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
3/24/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/26/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/24/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/24/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/26/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/24/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
9/24/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,45,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/25/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,47.7,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
11/24/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,47.7,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
12/24/21,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,47.7,Yungmann  David Committee to Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2/11/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
3/11/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
4/12/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
5/12/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
6/14/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
7/12/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
8/12/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
9/13/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
10/12/21,SPM Stategies  LLC,2812 South Columbus  Arlington  Virginia 22206,Business/Group/Organization,99,Yungmann  David Committee to Elect,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
10/7/21,GoDaddy,14455 N. Hayden Rd  Ste 219  Scottsdale  Arizona 85260,Business/Group/Organization,137.81,Fiedler  Amanda Friends of,Media,Media - Website Development,NA,Check,Amanda Fiedler,Electoral,website,NA
10/7/21,GoDaddy,14455 N. Hayden Rd  Ste 219  Scottsdale  Arizona 85260,Business/Group/Organization,135.66,Fiedler  Amanda Friends of,Media,Media - Website Development,NA,Check,Amanda Fiedler,Electoral,website HTTPS upgrade,NA
10/7/21,Mailchimp,The Rocket Science Group LLC  675 Ponce de Leon Ave NE  Suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,164.24,Fiedler  Amanda Friends of,Media,Online Advertising,NA,Check,Amanda Fiedler,Electoral,April-August,NA
5/26/21,Rita Leiby,308 Locust Thorn Ct  Millersville  Maryland 21108,Individual,100,Fiedler  Amanda Friends of,Media,Graphic Design,NA,Check,NA,Electoral,Spring PDF Announcement,NA
10/7/21,Mailchimp,The Rocket Science Group LLC  675 Ponce de Leon Ave NE  Suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,154.95,Fiedler  Amanda Friends of,Media,Online Advertising,NA,Check,Amanda Fiedler,Electoral,NA,NA
4/6/22,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,5.7,Howard  Seth Citizens To Elect,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
8/9/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,15.89,Pittman  Steuart Friends of,Media,Online Advertising,NA,Electronic Check,NA,Electoral,NA,NA
7/9/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,15.89,Pittman  Steuart Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/24/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,333.86,Pittman  Steuart Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/9/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,15.89,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
5/10/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,15.89,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
4/12/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,15.89,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
3/9/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,14.99,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
2/9/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,14.99,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
10/12/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,15.89,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
10/7/21,GOOGLE,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,134.41,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
10/6/21,Convergence Targeted Communications,1221 Connecticut Ave. NW  Suite 300  Washington  District Of Columbia 20036,Business/Group/Organization,4375,Pittman  Steuart Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
10/6/21,Hootsuite,12 E. 49th Street  New York  New York 10017,Business/Group/Organization,588,Pittman  Steuart Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
10/5/21,Veracity,1 Thomas Circle NW  Suite 700  Washington  District Of Columbia 20005,Business/Group/Organization,3000,Pittman  Steuart Friends of,Media,Consulting Fees - Media,NA,EFT,NA,Electoral,NA,NA
9/27/21,Emily Kercher Photography LLC,1745 Mayfair Place  Crofton  Maryland 21114,Business/Group/Organization,600,Pittman  Steuart Friends of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,NA,NA
9/9/21,Wix,100 Gansevoort St.  New York  New York 10014,Business/Group/Organization,30,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
9/9/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,15.89,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
11/3/21,GOOGLE,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,139.92,Pittman  Steuart Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
11/9/21,Wix,100 Gansevoort St.  New York  New York 10014,Business/Group/Organization,30,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
11/9/21,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,143.53,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
4/26/21,3GVision,9962 Royal Commerce Place  Upper Marlboro  Maryland 20774,Business/Group/Organization,250,Smith  Denise Friends of,Media,Videos,NA,EFT,NA,Electoral,NA,NA
4/29/21,JPR Customs 360,1111 Address Street  Colemar Manor  Maryland 00000,Business/Group/Organization,45,Smith  Denise Friends of,Media,Media - Website Development,NA,EFT,NA,Electoral,NA,NA
6/9/21,3GVision,9962 Royal Commerce Place  Upper Marlboro  Maryland 20774,Business/Group/Organization,500,Smith  Denise Friends of,Media,Videos,NA,EFT,NA,Electoral,NA,NA
6/24/21,3GVision,9962 Royal Commerce Place  Upper Marlboro  Maryland 20774,Business/Group/Organization,200,Smith  Denise Friends of,Media,Videos,NA,EFT,NA,Electoral,NA,NA
6/29/21,3GVision,9962 Royal Commerce Place  Upper Marlboro  Maryland 20774,Business/Group/Organization,500,Smith  Denise Friends of,Media,Videos,NA,EFT,NA,Electoral,NA,NA
7/1/21,3GVision,9962 Royal Commerce Place  Upper Marlboro  Maryland 20774,Business/Group/Organization,540,Smith  Denise Friends of,Media,Videos,NA,EFT,NA,Electoral,NA,NA
6/2/22,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,25,Amaya  Ruben Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2/4/21,Salsa Labs Inc,1700 Connecticut Ave. NW  Washington  District Of Columbia 20009,Business/Group/Organization,50,Kent County Democratic Central Committee,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
3/9/21,Salsa Labs Inc,1700 Connecticut Ave. NW  Washington  District Of Columbia 20009,Business/Group/Organization,50,Kent County Democratic Central Committee,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
4/8/21,Salsa Labs Inc,1700 Connecticut Ave. NW  Washington  District Of Columbia 20009,Business/Group/Organization,55.65,Kent County Democratic Central Committee,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
5/7/21,Salsa Labs Inc,1700 Connecticut Ave. NW  Washington  District Of Columbia 20009,Business/Group/Organization,55.65,Kent County Democratic Central Committee,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
6/27/21,Greenbelt News Review,15 Crescent Road  Suite 100  Greenbelt  Maryland 20770,Business/Group/Organization,300,Washington  Alonzo Friends for,Media,Newspaper,NA,Check,NA,Electoral,Newspaper event ad,NA
9/20/21,99 Designs.com,447 Battery Street  San Franciso  California 94111,Business/Group/Organization,2467.5,Wright  Nakia Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
5/7/21,Square Inc,1455 Market St  San Fransisco  California 94103,Business/Group/Organization,16.96,Washington  Mary People Uniting to Elect,Media,Media - Website Development,NA,EFT,NA,Electoral,NA,NA
3/1/22,"Hill""s Country Store",29933 Point Lookout Rd  Helen  Maryland 20635,Business/Group/Organization,250,Morgan  Matt Citizens For,Media,Billboards / Outdoor Advertising,NA,Check,NA,Electoral,NA,NA
1/19/22,CampaignPartner.com,PO Box 118  Still River  Massachusetts 01467,Business/Group/Organization,4.95,Dorsey  Patricia A. Citizens for,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
1/15/22,GoDaddy.com LLC,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,44.52,Reznik  Kirill Friends Of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
2/2/22,Web Editor Design Services,P. O. Box 1595  Amherst  New York 14226,Business/Group/Organization,112.5,Reznik  Kirill Friends Of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
2/13/22,GoDaddy.com LLC,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,44.52,Reznik  Kirill Friends Of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
7/8/22,Cumberland Times News,19 Baltimore St  Cumberland  Maryland 21502,Business/Group/Organization,115,Atkinson  Bill (William) Friends of,Media,Newspaper,NA,EFT,NA,Electoral,NA,NA
7/22/22,WCBC Radio,PO Box 1290  Cumberland  Maryland 21502,Business/Group/Organization,99,Atkinson  Bill (William) Friends of,Media,Radio,NA,Check,NA,Electoral,NA,NA
7/11/22,WCBC Radio,PO Box 1290  Cumberland  Maryland 21502,Business/Group/Organization,99,Atkinson  Bill (William) Friends of,Media,Radio,NA,Check,NA,Electoral,NA,NA
5/17/22,MailChimp,675 Ponce De Lone Ave  Northeast  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,62.54,Belcastro  Lisa Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
5/18/22,Name-Cheap.com,11400 W Olympic Blvd  Ste 200  Los Angeles  California 90064,Business/Group/Organization,28.32,Belcastro  Lisa Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
1/24/22,Epik.com,1100 Bellevue Way NE  Suite  8A-601  Bellevue  Washington 98004-4280,Business/Group/Organization,9.99,Jahn  Christopher (Chris) Friends For,Media,Media - Website Development,NA,Debit Card,NA,Electoral,Website Hosting - Jan 2022,NA
2/22/22,Epik.com,1100 Bellevue Way NE  Suite  8A-601  Bellevue  Washington 98004-4280,Business/Group/Organization,8.99,Jahn  Christopher (Chris) Friends For,Media,Media - Website Development,NA,Debit Card,NA,Electoral,Website Domain payment,NA
2/22/22,Epik.com,1100 Bellevue Way NE  Suite  8A-601  Bellevue  Washington 98004-4280,Business/Group/Organization,9.99,Jahn  Christopher (Chris) Friends For,Media,Media - Website Development,NA,Debit Card,NA,Electoral,Website hosting - Feb 2022,NA
3/3/22,Epik.com,1100 Bellevue Way NE  Suite  8A-601  Bellevue  Washington 98004-4280,Business/Group/Organization,8.99,Jahn  Christopher (Chris) Friends For,Media,Media - Website Development,NA,Debit Card,NA,Electoral,Website domain forward,NA
3/22/22,Epik.com,1100 Bellevue Way NE  Suite  8A-601  Bellevue  Washington 98004-4280,Business/Group/Organization,9.99,Jahn  Christopher (Chris) Friends For,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
4/22/22,Epik.com,1100 Bellevue Way NE  Suite  8A-601  Bellevue  Washington 98004-4280,Business/Group/Organization,9.99,Jahn  Christopher (Chris) Friends For,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
5/23/22,Epik.com,1100 Bellevue Way NE  Suite  8A-601  Bellevue  Washington 98004-4280,Business/Group/Organization,9.99,Jahn  Christopher (Chris) Friends For,Media,Media - Website Development,NA,Debit Card,NA,Electoral,Web hosting,NA
3/14/22,GoDaddy.com LLC,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,44.52,Reznik  Kirill Friends Of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/15/22,GoDaddy.com LLC,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,44.52,Reznik  Kirill Friends Of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
5/5/22,Web Editor Design Services,P. O. Box 1595  Amherst  New York 14226,Business/Group/Organization,112.5,Reznik  Kirill Friends Of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
5/14/22,GoDaddy.com LLC,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,44.52,Reznik  Kirill Friends Of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
6/1/22,Foundation Blue Media,2961 Eskridge Road  Fairfax  Virginia 22031,Business/Group/Organization,4983.17,Reznik  Kirill Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,NA,NA
6/1/22,MASTV / El Planeta LLC,655 15th Street  NW  Washington  District Of Columbia 20005,Business/Group/Organization,1955,Reznik  Kirill Friends Of,Media,Newspaper,NA,Debit Card,NA,Electoral,NA,NA
6/1/22,Datazapp.com,555 W Granada Blvd  Suite 6G  Ormond Beach  Florida 32174,Business/Group/Organization,125,Reznik  Kirill Friends Of,Media,Phones / Robo calls,NA,Debit Card,NA,Electoral,NA,NA
6/2/22,Web Editor Design Services,P. O. Box 1595  Amherst  New York 14226,Business/Group/Organization,230,Reznik  Kirill Friends Of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA,NA
6/1/22,facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,114.99,Belcastro  Lisa Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,NA,NA
4/30/22,Meta Platforms,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,20,Russell  Brandon for St. Mary's,Media,Online Advertising,NA,Debit Card,NA,Electoral,Facebook Ad,NA
5/1/22,Meta Platforms,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,25,Russell  Brandon for St. Mary's,Media,Online Advertising,NA,Debit Card,NA,Electoral,Facebook Ad,NA
5/2/22,Meta Platforms,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,15,Russell  Brandon for St. Mary's,Media,Online Advertising,NA,Debit Card,NA,Electoral,Facebook Ad,NA
5/3/22,Meta Platforms,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,25,Russell  Brandon for St. Mary's,Media,Online Advertising,NA,Debit Card,NA,Electoral,Facebook Ad,NA
5/11/22,Meta Platforms,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,35,Russell  Brandon for St. Mary's,Media,Online Advertising,NA,Debit Card,NA,Electoral,Facebook Ad,NA
5/12/22,Meta Platforms,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,16.99,Russell  Brandon for St. Mary's,Media,Online Advertising,NA,Debit Card,NA,Electoral,Facebook Ad,NA
5/14/22,Meta Platforms,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,50,Russell  Brandon for St. Mary's,Media,Online Advertising,NA,Debit Card,NA,Electoral,Facebook Ad,NA
6/3/22,Meta Platforms,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,33.01,Russell  Brandon for St. Mary's,Media,Online Advertising,NA,Debit Card,NA,Electoral,Facebook Ad,NA
4/22/22,Garrett County Democratic Central Committee,PO Box 343  McHenry  Maryland 21541,Non-Profit Organization,20,Hinebaugh  James (Jim) Citizens for,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,NA,NA
2/23/22,WiX,40 Namal Tel-Aviv St  Tel Aviv  ISRAEL,Business/Group/Organization,324,Harvey  Robin Coalition for,Media,Media - Website Development,NA,Credit Card/Visa,NA,Electoral,NA,NA
2/7/22,WiX,40 Namal Tel-Aviv St  Tel Aviv  ISRAEL,Business/Group/Organization,72,Harvey  Robin Coalition for,Media,Media - Website Development,NA,Credit Card/Visa,NA,Electoral,Website Email Renewal,NA
5/2/22,META,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,34.64,Augustine  Nicholas Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,FACEBOOK ADS,NA
5/31/22,META,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,44.99,Augustine  Nicholas Friends of,Media,Online Advertising,NA,Debit Card,NA,Electoral,FACEBOOK ADS,NA
5/19/22,Garrett Co Marine Corp Detachment 1234,186 Tenderfoot Drive  Oakland  Maryland 21550,Business/Group/Organization,100,Bittinger  Bill(William) Citizens to Elect,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,Hole Sponsorship/Sign Placement for golf tournament,NA
5/31/22,Garrett County Republican Central Committee,1655 Mayhew Inn Rd  Oakland  Maryland 21550,Business/Group/Organization,50,Bittinger  Bill(William) Citizens to Elect,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,Lincoln Day Dinner Ad (spring 2022),NA
4/5/22,KW Photography & Design,4302 Serpentine RD  Middletown  Maryland 21769,Business/Group/Organization,500,Jenkins  Chuck Campaign to Elect  for Sheriff,Media,Graphic Design,NA,Check,NA,Electoral,Website design and hosting.,NA
5/29/22,Brandon McDonnell,409 North Potomac  Waynesboro  Pennsylvania 17268,Individual,750,Beachley  Victoria Vote,Media,Videos,NA,Check,NA,Electoral,NA,NA
5/30/22,GoDaddy.com  LLC,2155 E Godaddy way  Tempe  Arizona 85284,Business/Group/Organization,133.44,Domanowski  Maggie Election Committee,Media,Media - Website Development,NA,Wire Transfer,NA,Electoral,NA,NA
5/11/22,Online Candidate,PO Box 402  Montgomery  New York 12549,Business/Group/Organization,441,Lowman  Anthony Scott Candidacy for Judge of Orphans Court,Media,Media - Website Development,NA,Credit Card/Visa,Daley Professional W,Electoral,NA,NA
5/16/22,Online Candidate,PO Box 402  Montgomery  New York 12549,Business/Group/Organization,29,Lowman  Anthony Scott Candidacy for Judge of Orphans Court,Media,Media - Website Development,NA,Credit Card/Visa,NA,Electoral,NA,NA
3/16/22,HARFORD'S HEART MAGAZINE,P O BOX 1484  BEL AIR  Maryland 21014,Business/Group/Organization,550,Lisanti  Mary Ann Friends Of,Media,Book/Brochure Advertising,NA,Check,NA,Electoral,NA,NA
4/15/22,Adam Leviton Web Developement,523 E. 7th St  Frederick  Maryland 21701,Business/Group/Organization,150,Lisanti  Mary Ann Friends Of,Media,Media - Website Development,NA,Check,NA,Electoral,NA,NA
1/28/22,Gabrielle Titow,236 S. High St  Apt 1  Baltimore  Maryland 21202,Individual,700,Carozza  Mary Beth Friends of,Media,Graphic Design,NA,Check,NA,Electoral,NA,NA
3/31/22,NICHOLAUS RYAN  KIPKE,311 Eagle Hill Rd  Pasadena  Maryland 21122,Self (Candidate),635.34,Kipke  Nic Friends of,Media,Online Advertising,NA,Check,NA,Electoral,NA,NA
