Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Reporting Period,Lobbyist Compensation,Staff Expenses,Office Expenses,Research Expenses,Communications,Witness Fees or Expenses,Other Operating Expenses,Sponsored Event Expenses,Tickets to Events Expenses,Meal & Bev at Meetings,Meal & Bev for Speaking,Meal & Bev for Officials,Gift expenses,Total Expenses
A015481,"Braue, Tim",Old Line Government Affairs LLC,"NRG Energy, Inc.",05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015574,"Braue, Tim",Old Line Government Affairs LLC,Aflac (American Family Life Assurance Company),11/01/21-12/28/21,"$2,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,500.00"
A019864,"Braue, Tim",Old Line Government Affairs LLC,"SHI-III Solera Kensington Owner, LLC",01/03/22-03/31/22,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00"
A015496,"Braue, Tim",Old Line Government Affairs LLC,National Football League (NFL) c/o MultiState Associates Inc.,11/01/21-04/30/22,"$42,300.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$42,300.00"
A015510,"Braue, Tim",Old Line Government Affairs LLC,"Imperfect Foods, Inc.",11/01/21-04/30/22,"$4,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,150.00"
A015488,"Braue, Tim",Old Line Government Affairs LLC,Pinpoint US LLC,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015514,"Braue, Tim",Old Line Government Affairs LLC,Cigar Association of america,11/01/21-04/30/22,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A015472,"Braue, Tim",Old Line Government Affairs LLC,Artemis Properties,11/01/21-04/30/22,"$20,100.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,100.00"
A015503,"Braue, Tim",Old Line Government Affairs LLC,Public Consulting Group LLC c/o MultiState Associates,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A021269,"Braue, Tim",Old Line Government Affairs LLC,"Baltimore Area Council Boy Scouts of America, Inc.",08/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015511,"Braue, Tim",Old Line Government Affairs LLC,"Imperfect Foods, Inc.",05/01/22-10/31/22,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A021022,"Braue, Tim",Old Line Government Affairs LLC,"Alterwood Health, Inc.",05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020056,"Braue, Tim",Old Line Government Affairs LLC,New Venture Fund,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015484,"Braue, Tim",Old Line Government Affairs LLC,Kaiser Permanente,11/01/21-12/28/21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020055,"Braue, Tim",Old Line Government Affairs LLC,New Venture Fund,01/07/22-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015504,"Braue, Tim",Old Line Government Affairs LLC,Wireless Infrastructure Association c/o MultiState Associates,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A021021,"Braue, Tim",Old Line Government Affairs LLC,"Alterwood Health, Inc.",03/28/22-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015480,"Braue, Tim",Old Line Government Affairs LLC,"NRG Energy, Inc.",11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015470,"Braue, Tim",Old Line Government Affairs LLC,AIA Maryland,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015497,"Braue, Tim",Old Line Government Affairs LLC,National Football League (NFL) c/o MultiState Associates Inc.,05/01/22-10/31/22,"$42,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$42,000.00"
A015471,"Braue, Tim",Old Line Government Affairs LLC,AIA Maryland,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A019825,"Breidenstine, Adrienne",Behavioral Health System Baltimore,Behavioral Health System Baltimore,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A019824,"Breidenstine, Adrienne",Behavioral Health System Baltimore,Behavioral Health System Baltimore,12/09/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015441,"Bresnahan, Tamela",AARP,AARP Maryland,05/01/22-10/31/22,"$33,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$33,500.00"
A015440,"Bresnahan, Tamela",AARP,AARP Maryland,11/01/21-04/30/22,"$63,504.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$63,504.00"
A021219,"Bressani, Greg","Tanko Streetlighting, Inc.","Tanko Streetlighting, Inc.",06/22/22-10/31/22,$137.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$137.50
A016277,"Briemann, Jennifer",Maryland Managed Care Organization Association,Maryland Managed Care Organization Association,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A016276,"Briemann, Jennifer",Maryland Managed Care Organization Association,Maryland Managed Care Organization Association,11/01/21-04/30/22,"$12,550.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,550.00"
A019005,"Brocato, Barbara",Brocato & Shattuck,"Arthritis & Rheumatism Associates, P.C.",11/22/21-04/30/22,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A016391,"Brocato, Barbara",Brocato & Shattuck,"League for People with Disabilities, The",11/01/21-04/30/22,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A016505,"Brocato, Barbara",Brocato & Shattuck,Maryland Coalition of Interior Designers,11/01/21-04/30/22,"$3,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,000.00"
A016507,"Brocato, Barbara",Brocato & Shattuck,MEDNAX Health Solutions Partner,11/01/21-04/30/22,"$17,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,500.00"
A016392,"Brocato, Barbara",Brocato & Shattuck,"League for People with Disabilities, The",05/01/22-10/31/22,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A019006,"Brocato, Barbara",Brocato & Shattuck,"Arthritis & Rheumatism Associates, P.C.",05/01/22-10/31/22,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A016508,"Brocato, Barbara",Brocato & Shattuck,MEDNAX Health Solutions Partner,05/01/22-10/31/22,"$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,000.00"
A016394,"Brocato, Barbara",Brocato & Shattuck,"National Academy of Elder Law Attorneys, Maryland/DC Chapter",05/01/22-10/31/22,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A016504,"Brocato, Barbara",Brocato & Shattuck,Maryland Science Center,05/01/22-10/31/22,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00"
A016561,"Brocato, Barbara",Brocato & Shattuck,Maryland Psychological Association,11/01/21-04/30/22,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00"
A016559,"Brocato, Barbara",Brocato & Shattuck,American Physical Therapy Association Maryland - APTA MD,11/01/21-04/30/22,"$12,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,000.00"
A016635,"Brocato, Barbara",Brocato & Shattuck,US Acute Care Solutions,11/01/21-04/30/22,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A016499,"Brocato, Barbara",Brocato & Shattuck,"Clinic Management and Development Services, Inc.",11/01/21-04/30/22,"$16,250.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$16,250.00"
A016560,"Brocato, Barbara",Brocato & Shattuck,American Physical Therapy Association Maryland - APTA MD,05/01/22-10/31/22,"$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00"
A016456,"Brocato, Barbara",Brocato & Shattuck,Maryland Academy of Nutrition and Dietetics,05/01/22-10/31/22,"$3,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,500.00"
A018900,"Brocato, Barbara",Brocato & Shattuck,Associates in Radiation Medicine,05/01/22-10/31/22,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A016393,"Brocato, Barbara",Brocato & Shattuck,"National Academy of Elder Law Attorneys, Maryland/DC Chapter",11/01/21-04/30/22,"$5,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,500.00"
A016503,"Brocato, Barbara",Brocato & Shattuck,Maryland Science Center,11/01/21-04/30/22,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,565.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$24,565.00"
A016455,"Brocato, Barbara",Brocato & Shattuck,Maryland Academy of Nutrition and Dietetics,11/01/21-04/30/22,"$3,750.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,750.00"
A018871,"Brocato, Barbara",Brocato & Shattuck,Maryland Society of Otolaryngology,11/15/21-04/30/22,"$4,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,000.00"
A016457,"Brocato, Barbara",Brocato & Shattuck,US Anesthesia Partners-Maryland,11/01/21-04/30/22,"$17,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,500.00"
A016362,"Brocato, Barbara",Brocato & Shattuck,Maryland Continuing Care Residents Association,05/01/22-10/31/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A016460,"Brocato, Barbara",Brocato & Shattuck,Maryland Society of Anesthesiologists,05/01/22-10/31/22,"$31,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$31,900.00"
A016562,"Brocato, Barbara",Brocato & Shattuck,Maryland Psychological Association,05/01/22-10/31/22,"$13,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,200.00"
A016502,"Brocato, Barbara",Brocato & Shattuck,Maryland Dermatologic Society,05/01/22-10/31/22,"$7,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,000.00"
A016501,"Brocato, Barbara",Brocato & Shattuck,Maryland Dermatologic Society,11/01/21-04/30/22,"$7,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,000.00"
A018872,"Brocato, Barbara",Brocato & Shattuck,Maryland Society of Otolaryngology,05/01/22-10/31/22,"$4,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,000.00"
A016364,"Brocato, Barbara",Brocato & Shattuck,Bethesda Newtrition and Wellness,05/01/22-10/31/22,"$1,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,500.00"
A016506,"Brocato, Barbara",Brocato & Shattuck,Maryland Coalition of Interior Designers,05/01/22-10/31/22,"$9,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,000.00"
A016361,"Brocato, Barbara",Brocato & Shattuck,Maryland Continuing Care Residents Association,11/01/21-04/30/22,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A016459,"Brocato, Barbara",Brocato & Shattuck,Maryland Society of Anesthesiologists,11/01/21-04/30/22,"$28,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$28,900.00"
A018899,"Brocato, Barbara",Brocato & Shattuck,Associates in Radiation Medicine,11/22/21-04/30/22,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A016363,"Brocato, Barbara",Brocato & Shattuck,Bethesda Newtrition and Wellness,11/01/21-04/30/22,"$1,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,500.00"
A016500,"Brocato, Barbara",Brocato & Shattuck,"Clinic Management and Development Services, Inc.",05/01/22-08/15/22,"$8,125.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,125.00"
A016458,"Brocato, Barbara",Brocato & Shattuck,US Anesthesia Partners-Maryland,05/01/22-10/31/22,"$17,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,500.00"
A021363,"Brocato, Barbara",Brocato & Shattuck,"Acadia Healthcare Company, Inc.",10/03/22-10/31/22,"$8,333.33",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,333.33"
A016636,"Brocato, Barbara",Brocato & Shattuck,US Acute Care Solutions,05/01/22-10/31/22,"$7,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00"
A021041,"Brock-Cancellieri, Jen",High Street Strategies,High Street Strategies,04/04/22-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,874.24",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,874.24"
A020288,"Brock-Cancellieri, Jen",High Street Strategies,"KaBoom, Inc.",01/18/22-04/30/22,"$2,559.72","$1,756.94",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,316.66"
A015655,"Brock-Cancellieri, Jen",High Street Strategies,CI Renewables,05/01/22-10/31/22,"$7,695.53",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,948.93",$0.00,$0.00,$0.00,$0.00,$0.00,"$13,644.46"
A020289,"Brock-Cancellieri, Jen",High Street Strategies,"KaBoom, Inc.",05/01/22-10/31/22,"$4,360.28",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,360.28"
A015618,"Brock-Cancellieri, Jen",High Street Strategies,Sierra Club,11/01/21-04/30/22,"$13,700.72","$1,039.52",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$14,740.24"
A020469,"Brock-Cancellieri, Jen",High Street Strategies,"Trulieve, Inc.",12/03/21-04/30/22,"$13,922.46","$1,655.69",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,578.15"
A015654,"Brock-Cancellieri, Jen",High Street Strategies,CI Renewables,11/01/21-04/30/22,"$10,652.63","$3,358.65",$0.00,$0.00,$0.00,$0.00,$0.00,"$41,103.70",$0.00,$0.00,$0.00,$0.00,$0.00,"$55,114.98"
A015657,"Brock-Cancellieri, Jen",High Street Strategies,Waterkeepers Chesapeake,05/01/22-10/31/22,"$4,065.25",$347.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$4,412.75"
A021116,"Brock-Cancellieri, Jen",High Street Strategies,Bike Maryland,01/12/22-04/30/22,"$8,197.24",$400.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,597.24"
A015637,"Brock-Cancellieri, Jen",High Street Strategies,"US Wind, Inc.",05/01/22-10/31/22,"$4,014.02",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,642.17",$0.00,$0.00,$0.00,$0.00,$0.00,"$14,656.19"
A015653,"Brock-Cancellieri, Jen",High Street Strategies,Blue Oyster Environmental LLC,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015628,"Brock-Cancellieri, Jen",High Street Strategies,Marijuana Policy Project,11/01/21-12/29/21,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00"
A015636,"Brock-Cancellieri, Jen",High Street Strategies,"US Wind, Inc.",11/01/21-04/30/22,"$1,884.27","$6,397.49",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,281.76"
A015650,"Brock-Cancellieri, Jen",High Street Strategies,Hopewell Fund,11/01/21-04/30/22,"$3,688.36","$3,496.61",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,184.97"
A015619,"Brock-Cancellieri, Jen",High Street Strategies,Sierra Club,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015656,"Brock-Cancellieri, Jen",High Street Strategies,Waterkeepers Chesapeake,11/01/21-04/30/22,"$10,266.96","$2,103.85",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,370.81"
A015652,"Brock-Cancellieri, Jen",High Street Strategies,Blue Oyster Environmental LLC,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A021042,"Brock-Cancellieri, Jen",High Street Strategies,High Street Strategies,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015651,"Brock-Cancellieri, Jen",High Street Strategies,Hopewell Fund,05/01/22-10/31/22,$261.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$261.75
A020470,"Brock-Cancellieri, Jen",High Street Strategies,"Trulieve, Inc.",05/01/22-10/31/22,"$6,274.53",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,274.53"
A020370,"Brown, Allison","Institute of Inspection, Cleaning and Restoration Certification (IICRC)","Institute of Inspection, Cleaning and Restoration Certification (IICRC)",01/26/22-04/30/22,$412.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$412.76
A020371,"Brown, Allison","Institute of Inspection, Cleaning and Restoration Certification (IICRC)","Institute of Inspection, Cleaning and Restoration Certification (IICRC)",05/01/22-05/12/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020262,"Brown, Ellie","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",01/18/22-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020263,"Brown, Ellie","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A014165,"Brown Alvarado, Tamera",Merck Sharp & Dohme Corp,Merck Sharp & Dohme Corp.,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A014166,"Brown Alvarado, Tamera",Merck Sharp & Dohme Corp,Merck Sharp & Dohme Corp.,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020730,"Brown, Sr., Michael","Maryland Classified Employees Association, Inc.","Maryland Classified Employees Association, Inc.",05/01/22-10/26/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020729,"Brown, Sr., Michael","Maryland Classified Employees Association, Inc.","Maryland Classified Employees Association, Inc.",02/18/22-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015328,"Bruce, Katie",Bridgewater Associates LP,"Bridgewater Associates, LP",11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015329,"Bruce, Katie",Bridgewater Associates LP,"Bridgewater Associates, LP",05/01/22-10/31/22,$942.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,333.74"
A021217,"Brvenik, Steve","Clear Channel Outdoor, LLC","Clear Channel Outdoor, LLC",07/05/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A018498,"Bryce, Joseph",Manis Canning & Associates,Association of Dental Support Organizations,11/01/21-04/30/22,"$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00"
A018502,"Bryce, Joseph",Manis Canning & Associates,Chesapeake Urology Associates,11/01/21-04/30/22,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00"
A020604,"Bryce, Joseph",Manis Canning & Associates,Avail,02/01/22-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A016959,"Bryce, Joseph",Manis Canning & Associates,Maryland Wholesale Medical Cannabis Trade Association,11/01/21-04/30/22,"$65,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$65,000.00"
A019593,"Bryce, Joseph",Manis Canning & Associates,Entertainment Software Association,12/07/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A018971,"Bryce, Joseph",Manis Canning & Associates,"FRAPORT Maryland, Inc.",11/15/21-04/30/22,"$28,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$28,000.00"
A018512,"Bryce, Joseph",Manis Canning & Associates,Clearview AI,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A018967,"Bryce, Joseph",Manis Canning & Associates,"Parsons Transportation Group, Inc.",11/15/21-04/30/22,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00"
A020717,"Bryce, Joseph",Manis Canning & Associates,Sirius XM Radio Inc.,02/11/22-04/30/22,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,000.00"
A017132,"Bryce, Joseph",Manis Canning & Associates,"Adventist HealthCare, Inc.",05/01/22-10/31/22,"$35,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$35,000.00"
A016141,"Bryce, Joseph",Manis Canning & Associates,Washington County Community Coalition,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
