Form ID,Lobbyist/Registrant,clean_lobbyist_registrant,Organization/Firm,clean_organization_firm,Employer,clean_employer,Registration Period
R014482,CCAN Action Fund,CCAN Action Fund,"Chartrand, Kevin ","Chartrand, Kevin ",CCAN Action Fund,CCAN Action Fund,11/01/22-10/31/23
R006520,"Celentano, Matthew ","Celentano, Matthew ","Funk & Bolton, P.A.","Funk & Bolton, P.A.",City of Bowie,City of Bowie,11/01/20-10/31/21
R012116,"Chapman, Shaun ","Chapman, Shaun ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,08/22/22-10/31/22
R014341,"Chapman, Shaun ","Chapman, Shaun ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/22-10/31/23
R008749,"Chason, Todd  R","Chason, Todd  R",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Maryland Energy Group,Maryland Energy Group,11/01/21-10/31/22
R001466,"Chason, Todd  R","Chason, Todd  R",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Calpine Energy Solutions LLC,Calpine Energy Solutions LLC,11/01/19-10/31/20
R001549,"Chason, Todd  R","Chason, Todd  R",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Maryland Energy Group,Maryland Energy Group,11/01/19-10/31/20
R001500,"Chiang, Amy ","Chiang, Amy ",N/A,N/A,"Honeywell International, Inc.","Honeywell International, Inc.",11/01/19-10/31/20
R009924,"Chinemere, Obie ","Chinemere, Obie ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/21-10/31/22
R014003,"Chinemere, Obie ","Chinemere, Obie ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R014008,"Chinemere, Obie ","Chinemere, Obie ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,Colonial Pipeline Company,Colonial Pipeline Company,11/01/22-10/31/23
R014198,"Chinemere, Obie ","Chinemere, Obie ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/22-10/31/23
R011291,"Chinemere, Obie ","Chinemere, Obie ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",01/03/22-10/31/22
R009925,"Chinemere, Obie ","Chinemere, Obie ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/21-10/31/22
R014199,"Chinemere, Obie ","Chinemere, Obie ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/22-10/31/23
R003313,"Clark, Thomas D, Jr.","Clark, Thomas D, Jr.",IBEW Local 26,IBEW Local 26,IBEW Local 26,IBEW Local 26,01/17/20-10/31/20
R000132,"Cobbs, Drew P.","Cobbs, Drew P.",Maryland Petroleum Council,Maryland Petroleum Council,American Petroleum Institute,American Petroleum Institute,11/01/19-09/29/20
R010529,"Coburn, Michael ","Coburn, Michael ",Providence Strategies LLC,Providence Strategies LLC,Old Dominion Electric Cooperative,Old Dominion Electric Cooperative,11/01/21-07/24/22
R000517,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),Columbia Gas of Maryland,Columbia Gas of Maryland,11/01/19-10/31/20
R013362,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/22-10/31/23
R008762,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/21-10/31/22
R004376,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),"Williams Companies, Inc., The","Williams Companies, Inc., The",11/01/20-10/31/21
R013392,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),Columbia Gas of Maryland,Columbia Gas of Maryland,11/01/22-10/31/23
R000525,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/19-10/31/20
R004367,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),Columbia Gas of Maryland,Columbia Gas of Maryland,11/01/20-10/31/21
R008765,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),"Williams Companies, Inc., The","Williams Companies, Inc., The",11/01/21-10/31/22
R000520,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),Elkton Gas Company,Elkton Gas Company,11/01/19-10/31/20
R000534,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),"Williams Companies, Inc., The","Williams Companies, Inc., The",11/01/19-10/31/20
R004375,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/20-10/31/21
R008760,"Collins, Carville B","Collins, Carville B",DLA Piper LLP (US),DLA Piper LLP (US),Columbia Gas of Maryland,Columbia Gas of Maryland,11/01/21-10/31/22
R014323,"Connelly, Valerie T.","Connelly, Valerie T.",Choptank Electric Cooperative,Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.","Choptank Electric Cooperative, Inc.",11/01/22-10/31/23
R002070,"Connelly, Valerie T.","Connelly, Valerie T.",Choptank Electric Cooperative,Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.","Choptank Electric Cooperative, Inc.",11/01/19-10/31/20
R005799,"Connelly, Valerie T.","Connelly, Valerie T.",Choptank Electric Cooperative,Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.","Choptank Electric Cooperative, Inc.",11/01/20-10/31/21
R010323,"Connelly, Valerie T.","Connelly, Valerie T.",Choptank Electric Cooperative,Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.","Choptank Electric Cooperative, Inc.",11/01/21-10/31/22
R011200,"Conner, Charles Robert, III","Conner, Charles Robert, III",Venable LLP,Venable LLP,Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,12/15/21-10/31/22
R012592,"Conner, Charles Robert, III","Conner, Charles Robert, III",Venable LLP,Venable LLP,Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,11/01/22-10/31/23
R007088,"Cook, Charles ","Cook, Charles ",Maryland State and DC AFL-CIO,Maryland State and DC AFL-CIO,Maryland State and D.C. AFL-CIO,Maryland State and D.C. AFL-CIO,01/11/21-10/31/21
R003052,"Cook, Charles ","Cook, Charles ",Maryland State and DC AFL-CIO,Maryland State and DC AFL-CIO,Maryland State and D.C. AFL-CIO,Maryland State and D.C. AFL-CIO,01/03/20-10/31/20
R011083,"Cook, Charles ","Cook, Charles ",Maryland State and DC AFL-CIO,Maryland State and DC AFL-CIO,Maryland State and D.C. AFL-CIO,Maryland State and D.C. AFL-CIO,12/07/21-10/31/22
R012623,"Cotton, Natalie E","Cotton, Natalie E","Southern Maryland Electric Cooperative, Inc.","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,Southern Maryland Electric Cooperative,11/01/22-10/31/23
R002919,"Cotton, Natalie E","Cotton, Natalie E","Southern Maryland Electric Cooperative, Inc.","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,Southern Maryland Electric Cooperative,12/18/19-10/31/20
R006493,"Cotton, Natalie E","Cotton, Natalie E","Southern Maryland Electric Cooperative, Inc.","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,Southern Maryland Electric Cooperative,11/01/20-10/31/21
R008199,"Cotton, Natalie E","Cotton, Natalie E","Southern Maryland Electric Cooperative, Inc.","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,Southern Maryland Electric Cooperative,11/01/21-10/31/22
R005227,"Covington, Derrick ","Covington, Derrick ",Old Line Government Affairs LLC,Old Line Government Affairs LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/20-10/31/21
R005257,"Covington, Derrick ","Covington, Derrick ",Old Line Government Affairs LLC,Old Line Government Affairs LLC,"NRG Energy, Inc.","NRG Energy, Inc.",11/01/20-10/31/21
R014795,"Cowan, Eleanor Colmers","Cowan, Eleanor Colmers","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC","NextEra Energy Resources, LLC",11/01/22-10/31/23
R014455,"Cowan, Eleanor Colmers","Cowan, Eleanor Colmers","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)",11/01/22-10/31/23
R000887,"Craig, Jordan ","Craig, Jordan ",American Forest & Paper Association,American Forest & Paper Association,American Forest & Paper Association,American Forest & Paper Association,09/05/19-10/31/19
R006598,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/13/20-10/31/21
R006603,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC","NextEra Energy Resources, LLC",11/13/20-10/31/21
R002480,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/08/19-10/31/20
R002481,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC","NextEra Energy Resources, LLC",11/08/19-10/31/20
R006591,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",American Wind Energy Association,American Wind Energy Association,11/13/20-10/31/21
R010546,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",Ceres,Ceres,11/01/21-06/30/22
R010512,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC","NextEra Energy Resources, LLC",11/01/21-06/30/22
R010545,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",American Clean Power,American Clean Power,11/01/21-06/30/22
R003774,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",American Wind Energy Association,American Wind Energy Association,03/09/20-10/31/20
R010470,"Cyphers, Moira ","Cyphers, Moira ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),11/01/21-06/30/22
R003408,"Dahl, Sarah Minner","Dahl, Sarah Minner","Choptank Electric Cooperative, Inc.",Choptank Electric Cooperative,"Choptank Electric Cooperative, Inc.","Choptank Electric Cooperative, Inc.",01/24/20-10/30/20
R010421,"DeMarco, James William","DeMarco, James William",Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,11/01/21-10/31/22
R006884,"DeMarco, James William","DeMarco, James William",Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,11/25/20-10/31/21
R007023,"Dennison, Thomas M","Dennison, Thomas M","Southern Maryland Electric Cooperative, Inc.","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,Southern Maryland Electric Cooperative,01/05/21-10/31/21
R011000,"Dennison, Thomas M","Dennison, Thomas M","Southern Maryland Electric Cooperative, Inc.","Southern Maryland Electric Cooperative, Inc.",Southern Maryland Electric Cooperative,Southern Maryland Electric Cooperative,11/29/21-10/31/22
R013737,"Dietz, Michelle ","Dietz, Michelle ",The Nature Conservancy,The Nature Conservancy,"Nature Conservancy, The","Nature Conservancy, The",11/01/22-10/31/23
R003390,"Duckman, Ashley S","Duckman, Ashley S",Maryland Chamber of Commerce,Maryland Chamber of Commerce,Maryland Chamber of Commerce,Maryland Chamber of Commerce,01/17/20-10/31/20
R002591,"Eckel, Rianna ","Eckel, Rianna ",Food & Water Watch,Food & Water Watch,Food & Water Watch,Food & Water Watch,11/15/19-10/31/20
R002771,"Enten, D. Robert","Enten, D. Robert",Gordon Feinblatt LLC,Gordon Feinblatt LLC,"Talen Energy Supply, LLC","Talen Energy Supply, LLC",12/02/19-10/31/20
R004582,"Enten, D. Robert","Enten, D. Robert",Gordon Feinblatt LLC,Gordon Feinblatt LLC,"Talen Energy Supply, LLC","Talen Energy Supply, LLC",11/01/20-10/31/21
R003802,"Enten, D. Robert","Enten, D. Robert",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Calpine Energy Solutions LLC,Calpine Energy Solutions LLC,03/11/20-10/31/20
R011908,Environment America,Environment America,"Neumann, Johanna ","Neumann, Johanna ",Environment America,Environment America,04/07/22-10/31/22
R003419,"Ercoli, Chris ","Ercoli, Chris ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/19-03/24/20
R003912,"Ercoli, Chris ","Ercoli, Chris ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/20-10/31/21
R003939,"Ercoli, Chris ","Ercoli, Chris ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,06/01/20-10/31/20
R009642,"Ercoli, Chris ","Ercoli, Chris ",Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,Brookfield Power US Asset Management LLC,11/01/21-01/20/22
R003338,"Evans, Gerard ","Evans, Gerard ","Evans & Associates, LLC","Evans & Associates, LLC","Synergics Wind Energy, LLC","Synergics Wind Energy, LLC",01/21/20-10/31/20
R011329,"Evans, Hayley ","Evans, Hayley ","Evans & Associates, LLC","Evans & Associates, LLC","Synergics Energy Services, LLC","Synergics Energy Services, LLC",01/06/22-10/31/22
R003343,"Evans, Hayley ","Evans, Hayley ","Evans & Associates, LLC","Evans & Associates, LLC","Synergics Wind Energy, LLC","Synergics Wind Energy, LLC",01/21/20-10/31/20
R011330,"Evans, Gerard ","Evans, Gerard ","Evans & Associates, LLC","Evans & Associates, LLC","Synergics Energy Services, LLC","Synergics Energy Services, LLC",01/06/22-10/31/22
R004311,"Favazza, John F","Favazza, John F",Manis Canning & Associates,Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland",12/07/20-10/31/21
R004314,"Favazza, John F","Favazza, John F",Manis Canning & Associates,Manis Canning & Associates,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/20-10/31/21
R000336,"Favazza, John F","Favazza, John F",Manis Canning & Associates,Manis Canning & Associates,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/19-10/31/20
R002433,"Favazza, John F","Favazza, John F",Manis Canning & Associates,Manis Canning & Associates,Exelon Corporation,Exelon Corporation,12/16/19-10/31/20
R000334,"Favazza, John F","Favazza, John F",Manis Canning & Associates,Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland",01/06/20-10/31/20
R008109,"Favazza, John F","Favazza, John F",Manis Canning & Associates,Manis Canning & Associates,"National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland",11/15/21-10/31/22
R008112,"Favazza, John F","Favazza, John F",Manis Canning & Associates,Manis Canning & Associates,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/21-10/31/22
R001927,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/19-10/31/20
R005674,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,Colonial Pipeline Company,Colonial Pipeline Company,11/01/20-10/31/21
R005684,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",11/01/20-10/31/21
R005767,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,TC Energy,TC Energy,11/01/20-10/31/21
R009447,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",11/01/21-10/31/22
R009604,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,TC Energy,TC Energy,11/01/21-10/31/22
R009460,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,Colonial Pipeline Company,Colonial Pipeline Company,11/01/21-10/31/22
R001895,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/19-10/31/20
R005760,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/20-10/31/21
R005773,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Waste Management, Inc.","Waste Management, Inc.",11/01/20-10/31/21
R013760,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R013789,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,Colonial Pipeline Company,Colonial Pipeline Company,11/01/22-10/31/23
R014073,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/22-10/31/23
R001899,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,Dominion Energy,Dominion Energy,11/01/19-10/31/20
R001935,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Waste Management, Inc.","Waste Management, Inc.",11/01/19-10/31/20
R009594,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Orsted North America, Inc.","Orsted North America, Inc.",11/01/21-10/31/22
R001894,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,Colonial Pipeline Company,Colonial Pipeline Company,11/01/19-10/31/20
R001931,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,TC Energy,TC Energy,11/01/19-10/31/20
R005762,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/20-10/31/21
R009597,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/21-10/31/22
R014104,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Waste Management, Inc.","Waste Management, Inc.",11/01/22-10/31/23
R009611,"Fesche, Camille G.","Fesche, Camille G.",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Waste Management, Inc.","Waste Management, Inc.",11/01/21-10/31/22
R010933,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,"NRG Energy, Inc.","NRG Energy, Inc.",11/01/21-10/31/22
R006689,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,"NRG Energy, Inc.","NRG Energy, Inc.",11/16/20-10/31/21
R006690,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,Arcadia,Arcadia,11/16/20-10/31/21
R007641,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,Bayview Management LLC,Bayview Management LLC,04/05/21-10/31/21
R003253,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,Arcadia,Arcadia,01/09/20-10/31/20
R003594,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,Vicinity Energy,Vicinity Energy,02/11/20-10/31/20
R010935,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,Arcadia,Arcadia,11/01/21-10/31/22
R011640,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,Vicinity Energy,Vicinity Energy,02/08/22-10/31/22
R003248,"Fiastro, John Carl, Jr.","Fiastro, John Carl, Jr.",Fiastro Consulting,Fiastro Consulting,"NRG Energy, Inc.","NRG Energy, Inc.",01/14/20-10/31/20
R002913,"Field, Anthony ","Field, Anthony ",Chesapeake Climate Action Fund,Chesapeake Climate Action Fund,Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,01/13/20-10/31/20
R006289,"Field, Anthony ","Field, Anthony ",Chesapeake Climate Action Fund,Chesapeake Climate Action Fund,Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,11/01/20-10/31/21
R005982,"Fisher, Erik ","Fisher, Erik ",Chesapeake Bay Foundation,Chesapeake Bay Foundation,Chesapeake Bay Foundation,Chesapeake Bay Foundation,11/01/20-10/31/21
R004353,"Francis, Frann G","Francis, Frann G",AOBA,AOBA,AOBA,AOBA,11/01/20-10/31/21
R008223,"Francis, Frann G","Francis, Frann G",AOBA,AOBA,AOBA,AOBA,11/01/21-10/31/22
R001838,"Francis, Frann G","Francis, Frann G",AOBA,AOBA,AOBA,AOBA,11/01/19-10/31/20
R015360,"Freedman, Danielle Nicole","Freedman, Danielle Nicole","Pepco Holdings, Inc","Pepco Holdings, Inc","Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/16/22-10/31/23
R003360,"Frias, Emily Anne","Frias, Emily Anne",CCAN Action Fund,CCAN Action Fund,Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,01/22/20-10/31/20
R010422,"Frias, Emily Anne","Frias, Emily Anne",CCAN Action Fund,CCAN Action Fund,CCAN Action Fund,CCAN Action Fund,11/01/21-05/06/22
R006730,"Frias, Emily Anne","Frias, Emily Anne",CCAN Action Fund,CCAN Action Fund,Chesapeake Climate Action Network Action Fund,Chesapeake Climate Action Network Action Fund,11/13/20-10/31/21
R001199,"Frome, Brad ","Frome, Brad ",Perry White Ross & Jacobson,Perry White Ross & Jacobson,"GenOn Mid-Atlantic, Inc.","GenOn Mid-Atlantic, Inc.",11/01/19-10/31/20
R001950,"Frome, Brad ","Frome, Brad ",Perry White Ross & Jacobson,Perry White Ross & Jacobson,Washington Gas,Washington Gas,11/01/19-10/31/20
R003965,"Frome, Brad ","Frome, Brad ",Perry White Ross & Jacobson,Perry White Ross & Jacobson,Public Service Enterprise Group,Public Service Enterprise Group,06/08/20-10/31/20
R001181,"Frome, Brad ","Frome, Brad ",Perry White Ross & Jacobson,Perry White Ross & Jacobson,Curtis Bay Energy,Curtis Bay Energy,11/01/19-10/31/20
R004658,"Frome, Brad ","Frome, Brad ",Perry White Ross & Jacobson,Perry White Ross & Jacobson,Washington Gas,Washington Gas,11/01/20-10/31/21
R001198,"Frome, Brad ","Frome, Brad ",Perry White Ross & Jacobson,Perry White Ross & Jacobson,First Energy Service Company,First Energy Service Company,11/01/19-10/31/20
R005337,"Frome, Brad ","Frome, Brad ",Perry White Ross & Jacobson,Perry White Ross & Jacobson,Public Service Enterprise Group,Public Service Enterprise Group,11/01/20-10/31/21
R005194,"Frome, Brad ","Frome, Brad ",Perry White Ross & Jacobson,Perry White Ross & Jacobson,"GenOn Mid-Atlantic, Inc.","GenOn Mid-Atlantic, Inc.",11/01/20-10/31/21
R008773,"Gallagher, Alexis ","Gallagher, Alexis ","Pepco Holdings, Inc.","Pepco Holdings, Inc","Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/21-03/04/22
R007578,"Gallagher, Alexis ","Gallagher, Alexis ","Pepco Holdings, Inc.","Pepco Holdings, Inc","Pepco Holdings, Inc.","Pepco Holdings, Inc.",03/04/21-10/31/21
R015352,"Gally, Eric ","Gally, Eric ","Gally Public Affairs, Inc. ","Gally Public Affairs, Inc. ",Chesapeake Bay Foundation,Chesapeake Bay Foundation,11/16/22-10/31/23
R011704,"Garagiola, Hannah  Powers","Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)",02/11/22-10/31/22
R009669,"Garagiola, Hannah  Powers","Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC","NextEra Energy Resources, LLC",11/01/21-10/31/22
R014420,"Garagiola, Hannah  Powers","Garagiola, Hannah  Powers","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",American Clean Power,American Clean Power,11/01/22-10/31/23
R014448,"Garagiola, Robert J","Garagiola, Robert J","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)",11/01/22-10/31/23
R014430,"Garagiola, Robert J","Garagiola, Robert J","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.","Coalition for Community Solar Access, Inc.",11/01/22-10/31/23
R014919,"Garagiola, Robert J","Garagiola, Robert J","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",Summit Ridge Energy,Summit Ridge Energy,11/01/22-10/31/23
R014792,"Garagiola, Robert J","Garagiola, Robert J","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC","NextEra Energy Resources, LLC",11/01/22-10/31/23
