form_id,lobbyist_registrant,organization_firm,employer,registration_period
R005417,"Reith, John  C.",Rifkin Weiner Livingston LLC,NIC Maryland,11/01/20-10/31/21
R005426,"Reith, John  C.",Rifkin Weiner Livingston LLC,Skyline Technology Solutions,11/01/20-10/31/21
R005428,"Reith, John  C.",Rifkin Weiner Livingston LLC,Tufton Professional Baseball LLC,11/01/20-10/31/21
R005917,"Reith, John  C.",Rifkin Weiner Livingston LLC,Celebree School,11/01/20-10/31/21
R008501,"Reith, John  C.",Rifkin Weiner Livingston LLC,Greenland Technologies Holding Corporation,10/08/21-10/31/21
R008612,"Reith, John  C.",Rifkin Weiner Livingston LLC,Catapult Learning LLC,10/11/21-10/31/21
R007720,"Reith, John  C.",Rifkin Weiner Livingston LLC,L.A. Wallet,04/15/21-10/31/21
R007791,"Reith, John  C.",Rifkin Weiner Livingston LLC,Savaria Corporation,05/24/21-10/31/21
R007810,"Reith, John  C.",Rifkin Weiner Livingston LLC,Cerner Corporation,05/27/21-10/31/21
R008013,"Reith, John  C.",Rifkin Weiner Livingston LLC,Blockchain.com,09/20/21-10/31/21
R005307,"Reith, John  C.",Rifkin Weiner Livingston LLC,"America Works of Maryland, Inc.",11/01/20-10/31/21
R005325,"Reith, John  C.",Rifkin Weiner Livingston LLC,CGI Technologies and Solutions Inc.,11/01/20-10/31/21
R005326,"Reith, John  C.",Rifkin Weiner Livingston LLC,Children's National Health System,11/01/20-10/31/21
R005366,"Reith, John  C.",Rifkin Weiner Livingston LLC,Encompass Health,11/01/20-10/31/21
R005370,"Reith, John  C.",Rifkin Weiner Livingston LLC,Facebook Inc.,11/01/20-10/31/21
R005383,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Food & Friends, Inc.",11/01/20-10/31/21
R005391,"Reith, John  C.",Rifkin Weiner Livingston LLC,Invest in Maryland Coalition,11/01/20-10/31/21
R005392,"Reith, John  C.",Rifkin Weiner Livingston LLC,Kent Fiber Optic Systems LLC,11/01/20-10/31/21
R005400,"Reith, John  C.",Rifkin Weiner Livingston LLC,Maryland Automobile Dealers Association,11/01/20-10/31/21
R005420,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/20-10/31/21
R005431,"Reith, John  C.",Rifkin Weiner Livingston LLC,Washington Area New Automobile Dealers Association (WANADA),11/01/20-10/31/21
R006930,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Fair Hill Foundation, Inc.",12/14/20-10/31/21
R007905,"Reith, John  C.",Rifkin Weiner Livingston LLC,Mount Vernon Place Conservancy,07/19/21-10/31/21
R004154,"Reith, John  C.",Rifkin Weiner Livingston LLC,Maximus,11/01/20-10/31/21
R005361,"Reith, John  C.",Rifkin Weiner Livingston LLC,Curio Wellness,11/01/20-10/31/21
R005362,"Reith, John  C.",Rifkin Weiner Livingston LLC,DentaQuest,11/01/20-10/31/21
R005382,"Reith, John  C.",Rifkin Weiner Livingston LLC,FedEx Corporation,11/01/20-10/31/21
R005384,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Gaudenzia, Inc.",11/01/20-10/31/21
R005389,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Humanim, Inc.",11/01/20-10/31/21
R005393,"Reith, John  C.",Rifkin Weiner Livingston LLC,Landmark Restoration Partners LLC,11/01/20-10/31/21
R005397,"Reith, John  C.",Rifkin Weiner Livingston LLC,Macquarie Capital (USA) Inc.,11/01/20-10/31/21
R005408,"Reith, John  C.",Rifkin Weiner Livingston LLC,Maryland Jockey Club,11/01/20-10/31/21
R005416,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Neurocrine Biosciences, Inc.",11/01/20-10/31/21
R005418,"Reith, John  C.",Rifkin Weiner Livingston LLC,Optotraffic,11/01/20-10/31/21
R005421,"Reith, John  C.",Rifkin Weiner Livingston LLC,Pharmaceutical Care Management Association (PCMA),11/01/20-10/31/21
R005423,"Reith, John  C.",Rifkin Weiner Livingston LLC,Premium Cigar Retailers Association of Maryland,11/01/20-10/31/21
R005425,"Reith, John  C.",Rifkin Weiner Livingston LLC,Sheppard Pratt Health Systems,11/01/20-10/31/21
R005424,"Reith, John  C.",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/20-10/31/21
R007183,"Reith, John  C.",Rifkin Weiner Livingston LLC,"URW Airports, LLC",01/11/21-10/31/21
R007556,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Medallia, Inc.",03/01/21-10/31/21
R007642,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Fusion Capital Management, LLC",03/18/21-10/31/21
R007687,"Reith, John  C.",Rifkin Weiner Livingston LLC,Sirius XM Radio Inc.,04/01/21-10/31/21
R007763,"Reith, John  C.",Rifkin Weiner Livingston LLC,IonQ,05/06/21-10/31/21
R007943,"Reith, John  C.",Rifkin Weiner Livingston LLC,Atlanticus Services Corporation,08/12/21-10/31/21
R005316,"Reith, John  C.",Rifkin Weiner Livingston LLC,BSC America,11/01/20-10/31/21
R005321,"Reith, John  C.",Rifkin Weiner Livingston LLC,Cal Ripken Sr. Foundation,11/01/20-10/31/21
R005365,"Reith, John  C.",Rifkin Weiner Livingston LLC,Education Affiliates/Fortis College,11/01/20-10/31/21
R005368,"Reith, John  C.",Rifkin Weiner Livingston LLC,Envirotest Systems Holdings Corp.,11/01/20-10/31/21
R005387,"Reith, John  C.",Rifkin Weiner Livingston LLC,Google LLC and its Affiliates,11/01/20-10/31/21
R005405,"Reith, John  C.",Rifkin Weiner Livingston LLC,Maryland Coalition for Healthy Movement,11/01/20-10/31/21
R005412,"Reith, John  C.",Rifkin Weiner Livingston LLC,Mid-Atlantic Health Care,11/01/20-10/31/21
R005415,"Reith, John  C.",Rifkin Weiner Livingston LLC,Montgomery Park,11/01/20-10/31/21
R005422,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/20-10/31/21
R005427,"Reith, John  C.",Rifkin Weiner Livingston LLC,TC Energy,11/01/20-10/31/21
R005429,"Reith, John  C.",Rifkin Weiner Livingston LLC,UPMC Western Maryland,11/01/20-10/31/21
R005430,"Reith, John  C.",Rifkin Weiner Livingston LLC,Valic,11/01/20-10/31/21
R005433,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Waste Management, Inc.",11/01/20-10/31/21
R005322,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Canton Group, The",11/01/20-10/31/21
R007900,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Joseph Smith & Sons, Inc.",07/19/21-10/31/21
R007967,"Reith, John  C.",Rifkin Weiner Livingston LLC,LifeSpan Network,08/25/21-10/31/21
R005308,"Reith, John  C.",Rifkin Weiner Livingston LLC,Bruce and Merrilees Electric Company,11/01/20-10/31/21
R005341,"Reith, John  C.",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/20-10/31/21
R005363,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/20-10/31/21
R005367,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Enterprise RAC Company of Baltimore, LLC",11/01/20-10/31/21
R005388,"Reith, John  C.",Rifkin Weiner Livingston LLC,H&R Block Management LLC,11/01/20-10/31/21
R005390,"Reith, John  C.",Rifkin Weiner Livingston LLC,Intuition Solutions,11/01/20-10/31/21
R005398,"Reith, John  C.",Rifkin Weiner Livingston LLC,Maryland Association of Realtors,11/01/20-10/31/21
R005409,"Reith, John  C.",Rifkin Weiner Livingston LLC,Maryland Wineries Association,11/01/20-10/31/21
R005317,"Reith, John  C.",Rifkin Weiner Livingston LLC,"Cable Telecommunications Association of Maryland, Delaware and D.C., Inc.",11/01/20-10/31/21
R007631,"Reynold, Michael",McGuireWoods Consulting LLC,Universal Storage Containers,03/15/21-10/31/21
R006973,"Reynolds, Patrick  Thomas",AFT-Maryland,AFT-Maryland,01/13/21-10/31/21
R007156,"Rice, Mathew M",The Arc Maryland,"Arc Maryland, The",01/13/21-10/31/21
R007960,"Riddick, Major F, Jr.","Strategic Solutions Center, LLC","SAUL EWING ARNSTEIN & LEHR, LLP",08/15/21-10/31/21
R006916,"Riddick, Major F, Jr.","Strategic Solutions Center, LLC",Cigna Health and Life Insurance Company,12/14/20-10/31/21
R007083,"Riddick, Major F, Jr.","Strategic Solutions Center, LLC",EZRA Technologies Inc.,01/11/21-10/31/21
R007382,"Riddick, Major F, Jr.","Strategic Solutions Center, LLC",OAKLAND CONSULTING,02/01/21-10/31/21
R007734,"Riddick, Major F, Jr.","Strategic Solutions Center, LLC",COASTOAK GROUP,05/01/21-10/31/21
R007955,"Riddick, Major F, Jr.","Strategic Solutions Center, LLC","INCAPSULATE, LLC",08/12/21-10/31/21
R006932,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Fair Hill Foundation, Inc.",12/14/20-10/31/21
R005446,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Cable Telecommunications Association of Maryland, Delaware and D.C., Inc.",11/01/20-10/31/21
R005443,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Brewers Association of Maryland,11/01/20-10/31/21
R005444,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Bruce and Merrilees Electric Company,11/01/20-10/31/21
R005451,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Children's National Health System,11/01/20-10/31/21
R005498,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Progrexion ASG, Inc.",11/01/20-10/31/21
R005556,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Maryland Wineries Association,11/01/20-10/31/21
R005573,"Rifkin, Brad",Rifkin Weiner Livingston LLC,SCI Management,11/01/20-10/31/21
R007319,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Sirius XM Radio Inc.,04/01/21-10/31/21
R007721,"Rifkin, Brad",Rifkin Weiner Livingston LLC,L.A. Wallet,04/15/21-10/31/21
R005447,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Cal Ripken Sr. Foundation,11/01/20-10/31/21
R005454,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Envirotest Systems Holdings Corp.,11/01/20-10/31/21
R005479,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Humanim, Inc.",11/01/20-10/31/21
R005508,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Maryland Association of Realtors,11/01/20-10/31/21
R005512,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Maryland Automobile Dealers Association,11/01/20-10/31/21
R005559,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Mid-Atlantic Health Care,11/01/20-10/31/21
R005565,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/20-10/31/21
R005571,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Premium Cigar Retailers Association of Maryland,11/01/20-10/31/21
R005577,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Valic,11/01/20-10/31/21
R005448,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Canton Group, The",11/01/20-10/31/21
R007317,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Maryland Distillers Guild,01/25/21-10/31/21
R007898,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Joseph Smith & Sons, Inc.",07/19/21-10/31/21
R008014,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Blockchain.com,09/20/21-10/31/21
R005467,"Rifkin, Brad",Rifkin Weiner Livingston LLC,FedEx Corporation,11/01/20-10/31/21
R005471,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Gaudenzia, Inc.",11/01/20-10/31/21
R005482,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Intuition Solutions,11/01/20-10/31/21
R005487,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Landmark Restoration Partners LLC,11/01/20-10/31/21
R005549,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Maryland Jockey Club,11/01/20-10/31/21
R005550,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Maryland Pawnbrokers Association,11/01/20-10/31/21
R005562,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Montgomery Park,11/01/20-10/31/21
R005578,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Walden University,11/01/20-10/31/21
R005580,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Washington Area New Automobile Dealers Association (WANADA),11/01/20-10/31/21
R005574,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/20-10/31/21
R007944,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Atlanticus Services Corporation,08/12/21-10/31/21
R005452,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Curio Wellness,11/01/20-10/31/21
R005453,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Enterprise RAC Company of Baltimore, LLC",11/01/20-10/31/21
R005464,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Facebook Inc.,11/01/20-10/31/21
R005495,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Lexington Law (John C. Heath, Attorney at LLC dba Lexington Law Firm)",11/01/20-10/31/21
R005569,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Pharmaceutical Care Management Association (PCMA),11/01/20-10/31/21
R005449,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/20-10/31/21
R005469,"Rifkin, Brad",Rifkin Weiner Livingston LLC,"Food & Friends, Inc.",11/01/20-10/31/21
R005473,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Google LLC and its Affiliates,11/01/20-10/31/21
R005546,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Maryland Care Inc. dba Maryland Physicians Care,11/01/20-10/31/21
R005576,"Rifkin, Brad",Rifkin Weiner Livingston LLC,Tufton Professional Baseball LLC,11/01/20-10/31/21
R006494,"Riley, Denise Marie",AFT-Maryland,AFT-Maryland,11/01/20-10/31/21
R007552,"Rinehart, Ian","The Ad Hoc Group, Inc.","Maryland Geothermal Association, The",02/24/21-08/01/21
R005436,"Rivkin, Deborah R",CareFirst BlueCross BlueShield,CareFirst BlueCross BlueShield,11/01/20-10/31/21
R005600,"Robinson, Arash Shane",Trash Free Maryland,Trash Free Maryland,11/01/20-10/31/21
R007373,"Robinson, Kimberly",Cigna Corporate Services LLC,"Cigna Corporate Services, LLC",02/01/21-10/31/21
R006366,"Robinson, Dawone",Natural Resources Defense Council and its Affiliates (NRDC),Natural Resources Defense Council and its Affiliates,12/02/20-10/31/21
R006277,"Rock, Melissa S",Advocates for Children and Youth,Advocates for Children and Youth,11/01/20-08/03/21
R006931,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Fair Hill Foundation, Inc.",12/14/20-04/16/21
R005592,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Cable Telecommunications Association of Maryland, Delaware and D.C., Inc.",11/01/20-04/16/21
R007325,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Maryland Distillers Guild,01/25/21-04/16/21
R005589,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Baltimore Symphony Orchestra,11/01/20-04/16/21
R005609,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Children's National Health System,11/01/20-04/16/21
R005622,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Food & Friends, Inc.",11/01/20-04/16/21
R005636,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Maryland Jockey Club,11/01/20-04/16/21
R005652,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Premium Cigar Retailers Association of Maryland,11/01/20-04/16/21
R005662,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Waste Management, Inc.",11/01/20-04/16/21
R007423,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Horizon Land Company,02/01/21-04/16/21
R005590,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Brewers Association of Maryland,11/01/20-04/16/21
R005593,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Cal Ripken Sr. Foundation,11/01/20-04/16/21
R005611,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Chimes, The",11/01/20-12/31/20
R005619,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Facebook Inc.,11/01/20-04/16/21
R005628,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Invest in Maryland Coalition,11/01/20-04/16/21
R005629,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Kent Fiber Optic Systems LLC,11/01/20-04/16/21
R005635,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Maryland Coalition for Healthy Movement,11/01/20-04/16/21
R005638,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,NIC Maryland,11/01/20-04/16/21
R005654,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Sheppard Pratt Health Systems,11/01/20-04/16/21
R005612,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/20-04/16/21
R005613,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Curio Wellness,11/01/20-04/16/21
R005614,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/20-04/16/21
R005625,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Google LLC and its Affiliates,11/01/20-04/16/21
R005627,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,H&R Block Management LLC,11/01/20-04/16/21
R005630,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Landmark Restoration Partners LLC,11/01/20-04/16/21
R005632,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Macquarie Capital (USA) Inc.,11/01/20-04/16/21
R005634,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Maryland Association of Realtors,11/01/20-04/16/21
R005649,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/20-04/16/21
R005656,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,TC Energy,11/01/20-04/16/21
R005616,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Enterprise RAC Company of Baltimore, LLC",11/01/20-04/16/21
R005588,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"America Works of Maryland, Inc.",11/01/20-04/16/21
R005591,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Bruce and Merrilees Electric Company,11/01/20-04/16/21
R005597,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,CGI Technologies and Solutions Inc.,11/01/20-04/16/21
R005621,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,FedEx Corporation,11/01/20-04/16/21
R005623,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Gaudenzia, Inc.",11/01/20-04/16/21
R005637,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Maryland Wineries Association,11/01/20-04/16/21
R005639,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Optotraffic,11/01/20-04/16/21
R005647,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Orsted North America, Inc.",11/01/20-04/16/21
R005658,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,Tufton Professional Baseball LLC,11/01/20-04/16/21
R005596,"Roddy, Patrick H.",Rifkin Weiner Livingston LLC,"Canton Group, The",11/01/20-04/16/21
R007359,"Rodgers, Beatrice M","Resource Connections, Inc.","Resource Connections, Inc. on behalf of PG Provider Council",01/29/21-10/31/21
R007015,"Rogers, Sabine","AnnDyl Policy Group, LLC",Association of Air Conditioning Professionals (AACP),01/04/21-10/31/21
R005599,"Rogers, Sabine","AnnDyl Policy Group, LLC",Heating & Air Conditioning Contractors of Maryland,11/01/20-10/31/21
R006640,"Rohling, Martin Guy",Albers & Company,"Intuit, Inc.",11/01/20-10/31/21
R006668,"Rohling, Martin Guy",Albers & Company,Fresenius Medical Care,11/01/20-10/31/21
R007188,"Rohrer, Amy",Maryland Hotel Lodging Association,Maryland Hotel & Lodging Association,01/15/21-10/31/21
R007976,"Rollins, Shirley Allison",The US Oncology Network,US Oncology,09/02/21-10/31/21
R005952,"Rose, Jodi",Interfaith Partners for the Chesapeake,Interfaith Partners for the Chesapeake,11/01/20-10/31/21
R005617,"Rosen, Brian S",N/A,Purdue Pharma L.P.,11/01/20-10/31/21
R007508,"Ross, Justin",Perry White Ross & Jacobson,Envirotest Systems Holdings Corp.,02/17/21-07/01/21
R004716,"Ross, Justin",Perry White Ross & Jacobson,Peterson Companies,11/01/20-07/01/21
R004717,"Ross, Justin",Perry White Ross & Jacobson,Pharmaceutical Research & Manufacturers of America,11/01/20-07/01/21
R004725,"Ross, Justin",Perry White Ross & Jacobson,Public Service Enterprise Group,11/01/20-07/01/21
R004734,"Ross, Justin",Perry White Ross & Jacobson,Scotts Miracle-Gro Company,11/01/20-07/01/21
R004736,"Ross, Justin",Perry White Ross & Jacobson,"St. John Properties, Inc.",11/01/20-07/01/21
R004743,"Ross, Justin",Perry White Ross & Jacobson,"Uber Technologies, Inc.",11/01/20-07/01/21
R004832,"Ross, Justin",Perry White Ross & Jacobson,"Altria Client Services LLC and its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Company, LLC",11/01/20-07/01/21
R004836,"Ross, Justin",Perry White Ross & Jacobson,AT&T,11/01/20-07/01/21
R004837,"Ross, Justin",Perry White Ross & Jacobson,"MTPM, LLC",11/01/20-07/01/21
R004846,"Ross, Justin",Perry White Ross & Jacobson,"Corizon Health, Inc.",11/01/20-07/01/21
R004899,"Ross, Justin",Perry White Ross & Jacobson,Gilchrist Hospice,11/01/20-07/01/21
R004923,"Ross, Justin",Perry White Ross & Jacobson,"Holy Cross Health, Inc.",11/01/20-07/01/21
R004927,"Ross, Justin",Perry White Ross & Jacobson,Housing Opportunity Commission,11/01/20-07/01/21
R004912,"Ross, Justin",Perry White Ross & Jacobson,Greenvest,11/01/20-07/01/21
R004929,"Ross, Justin",Perry White Ross & Jacobson,Howard Hughes Corporation,11/01/20-07/01/21
R005334,"Ross, Justin",Perry White Ross & Jacobson,Sun Service LLC,11/01/20-07/01/21
R005371,"Ross, Justin",Perry White Ross & Jacobson,Maryland Province of the Society of Jesus (Jesuits),11/01/20-07/01/21
R004711,"Ross, Justin",Perry White Ross & Jacobson,National Venture Capital Association,11/01/20-07/01/21
R004715,"Ross, Justin",Perry White Ross & Jacobson,McCormack Baron Salazar Inc.,11/01/20-07/01/21
R004718,"Ross, Justin",Perry White Ross & Jacobson,Ports America Chesapeake,11/01/20-07/01/21
R004727,"Ross, Justin",Perry White Ross & Jacobson,"Pure Storage, Inc.",11/01/20-07/01/21
R004729,"Ross, Justin",Perry White Ross & Jacobson,Republic Services,11/01/20-07/01/21
R004745,"Ross, Justin",Perry White Ross & Jacobson,Urban Atlantic,11/01/20-07/01/21
R004748,"Ross, Justin",Perry White Ross & Jacobson,"Washington Football Team Charitable Foundation, The",11/01/20-07/01/21
R004844,"Ross, Justin",Perry White Ross & Jacobson,Concentra,11/01/20-07/01/21
R004859,"Ross, Justin",Perry White Ross & Jacobson,"FanDuel, Inc.",11/01/20-07/01/21
R004888,"Ross, Justin",Perry White Ross & Jacobson,"FirstEnergy, Corp.",11/01/20-07/01/21
R004893,"Ross, Justin",Perry White Ross & Jacobson,"GenOn Mid-Atlantic, Inc.",11/01/20-07/01/21
R007173,"Ross, Justin",Perry White Ross & Jacobson,"LeaseLock, Inc.",01/12/21-07/01/21
R007605,"Ross, Justin",Perry White Ross & Jacobson,28 Walker Avenue,03/08/21-07/01/21
R004710,"Ross, Justin",Perry White Ross & Jacobson,"Nissan North America, Inc.",11/01/20-07/01/21
R004722,"Ross, Justin",Perry White Ross & Jacobson,Procter & Gamble,11/01/20-07/01/21
R004742,"Ross, Justin",Perry White Ross & Jacobson,Transurban,11/01/20-07/01/21
R004751,"Ross, Justin",Perry White Ross & Jacobson,W.R. Grace & Co.,11/01/20-07/01/21
R004839,"Ross, Justin",Perry White Ross & Jacobson,Calvin Cafritz Enterprises,11/01/20-07/01/21
R004842,"Ross, Justin",Perry White Ross & Jacobson,Cisco,11/01/20-07/01/21
R004850,"Ross, Justin",Perry White Ross & Jacobson,Ernst & Young,11/01/20-07/01/21
R004918,"Ross, Justin",Perry White Ross & Jacobson,"HDR Engineering, Inc.",11/01/20-07/01/21
R007330,"Ross, Justin",Perry White Ross & Jacobson,B&O Railroad Museum,01/26/21-07/01/21
R007366,"Ross, Justin",Perry White Ross & Jacobson,"Vessel Technologies, Inc.",02/01/21-07/01/21
R004702,"Ross, Justin",Perry White Ross & Jacobson,Maryland Affordable Housing Coalition,11/01/20-07/01/21
R004704,"Ross, Justin",Perry White Ross & Jacobson,Mercy Medical Center,11/01/20-07/01/21
R004714,"Ross, Justin",Perry White Ross & Jacobson,Beatty Development Group LLC,11/01/20-07/01/21
R004733,"Ross, Justin",Perry White Ross & Jacobson,Science Applications International Corporation (SAIC),11/01/20-07/01/21
R004744,"Ross, Justin",Perry White Ross & Jacobson,"United Healthcare Services, Inc.",11/01/20-07/01/21
R004746,"Ross, Justin",Perry White Ross & Jacobson,"Washington Football Team, The",11/01/20-07/01/21
R004749,"Ross, Justin",Perry White Ross & Jacobson,"Wegmans Food Markets, Inc.",11/01/20-07/01/21
R004750,"Ross, Justin",Perry White Ross & Jacobson,Washington Gas,11/01/20-07/01/21
R004833,"Ross, Justin",Perry White Ross & Jacobson,"Amazon.com Services, Inc.",11/01/20-07/01/21
R004838,"Ross, Justin",Perry White Ross & Jacobson,Baltimore Scrap Corp.,11/01/20-07/01/21
R004841,"Ross, Justin",Perry White Ross & Jacobson,Caves Valley Partners,11/01/20-07/01/21
R004848,"Ross, Justin",Perry White Ross & Jacobson,"DraftKings, Inc.",11/01/20-07/01/21
R004858,"Ross, Justin",Perry White Ross & Jacobson,"EYA, LLC",11/01/20-07/01/21
R004895,"Ross, Justin",Perry White Ross & Jacobson,Gilbane Development Company,11/01/20-07/01/21
R004902,"Ross, Justin",Perry White Ross & Jacobson,Glaxo Smith Kline,11/01/20-07/01/21
R004911,"Ross, Justin",Perry White Ross & Jacobson,Greenberg Gibbons,11/01/20-07/01/21
R005372,"Ross, Justin",Perry White Ross & Jacobson,Jair Lynch,11/01/20-07/01/21
R006996,"Ross, Justin",Perry White Ross & Jacobson,Campaign for Recycling and the Environment,12/31/20-07/01/21
R007355,"Ross, Justin",Perry White Ross & Jacobson,Baltimore Avenue LLC's,01/28/21-07/01/21
R007532,"Ross, Justin",Perry White Ross & Jacobson,EDENS,02/23/21-07/01/21
R007620,"Ross, Justin",Perry White Ross & Jacobson,International Sleep Products Association,03/11/21-07/01/21
R004700,"Ross, Justin",Perry White Ross & Jacobson,Konterra Realty,11/01/20-07/01/21
R004707,"Ross, Justin",Perry White Ross & Jacobson,Maryland Horse Breeders Association,11/01/20-07/01/21
R004713,"Ross, Justin",Perry White Ross & Jacobson,Cross Street Partners,11/01/20-07/01/21
R004720,"Ross, Justin",Perry White Ross & Jacobson,PREIT,11/01/20-07/01/21
R004728,"Ross, Justin",Perry White Ross & Jacobson,Recovery Centers of America,11/01/20-07/01/21
R004731,"Ross, Justin",Perry White Ross & Jacobson,RPAI US Management LLC,11/01/20-07/01/21
R004738,"Ross, Justin",Perry White Ross & Jacobson,Stevenson University,11/01/20-07/01/21
R004739,"Ross, Justin",Perry White Ross & Jacobson,Stewart Companies,11/01/20-07/01/21
R004740,"Ross, Justin",Perry White Ross & Jacobson,"Redwood Capital Investments, LLC",11/01/20-07/01/21
R004831,"Ross, Justin",Perry White Ross & Jacobson,2U,11/01/20-07/01/21
R004835,"Ross, Justin",Perry White Ross & Jacobson,Anheuser-Busch Companies,11/01/20-07/01/21
